C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_female_preprocessed.csv,C:\Users\Rgee\Google Drive\Classroom\PRC-ST1 Batch 115\Deployment\OOTO UNICEF\Datasets\ready for OOTO\preprocessed\national_male_preprocessed.csv
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom
I've met face to face with a person I just got acquainted on internet but is already known by my friends or relatives,f6a,0.6704948762416904,+,1
I've met face to face with a person I just got acquainted on internet and who is totally unknown to anyone I personally know,f6b,0.5682187952785173,+,1
I've met with a foreigner (different nationality),f6c,0.00019495378763111933,-,1
I've personally met with an older person,f6d,1.6813198481193492,-,1
I've met face to face with a person I just got acquainted on internet and she/he was accompanied by another girl/boy,f6e,0.030941244307267038,-,1
I've met with another woman like myself whom i just got acquainted with on internet,f6f,,,1
I've met with another man like myself whom i just got acquainted with on internet,f6g,,,1
I've met with LGBT person (lesbian; gay; bisexual; transgender) whom i just got acquainted with on internet,f6h,0.570481380270883,-,1
null,f8,0.6811707553734095,-,1
null,f11,1.4369492610693733,-,1
null,f12,16.78327705287642,-,1
null,f13,0.5993853966476284,+,1
My mother or father (or step/foster mother or father),f14a,0.1808657036904106,-,1
My brother or sister (orstep/foster/half siblings),f14b,0.45202505353459066,-,1
Cousin,f14j,1.0083097407835462,-,1
Aunt/Uncle,f14k,3.339235769020326,-,1
Grandfather/Grandmother,f14l,12.334480241893441,-,1
Nanny,f14m,,,1
A friend around my age,f14c,10.109838550564229,+,1
Classmate,f14n,2.3410268364177362,+,1
Boyfriend/Girlfriend,f14o,0.5377064807781105,+,1
A teacher,f14d,3.110433097995262,-,1
Someone whose job it is to help children,f14e,,,1
Godfather/Godmother,f14p,2.625346600784101,-,1
Priest/Pastor/Nun,f14q,,,1
Neighbor,f14r,7.453570234410032,-,1
Another adult I trust,f14f,0.22786483443068062,+,1
Someone else,f14g,5.161468816224938,-,1
I didn't talk to anyone,f14h,0.00874026661922612,-,1
Prefer not to say,f14i,0.3111469634361166,-,1
null,f15,5.9845870011574736,-,1
I ignored the problem or hoped the problem would go away by itself,f16a,0.518057375534288,-,1
I closed the window or app,f16b,4.8021569914732165,-,1
I felt a bit guilty about what went wrong,f16c,9.02569972050452,-,1
I tried to get the other person to leave me alone,f16d,2.8062429237023223,+,1
I tried to get back at the other person,f16e,,,1
I stopped using the internet for a while,f16f,0.0076558930999956355,+,1
I deleted any messages from the other person,f16g,7.3041200652932705,+,1
I changed my privacy/ contact settings,f16h,0.2869275581466018,-,1
I blocked the person from contacting me,f16i,9.800826785946441,+,1
I reported the problem online  (e.g.; clicked on a ‘report abuse’ button; contacted an internet advisor or Internet Service Provider (ISP)),f16j,0.5137282593837892,+,1
Other actions taken,f16k,4.5786629354350445,+,1
null,f18,0.565121109657376,-,1
null,f19,0.006592800981689446,+,1
null,f20a,,,2
null,f20b,,,2
By mobile phone calls,f21a,0.8601700680272101,-,1
By messages sent to me on my phone (SMS/TEXT or MMS),f21b,0.9545246949827106,+,1
On a social networking site (e.g. Facebook; Twitter etc.),f21c,3.4040661660769413,+,1
On a media sharing platform (YouTube; Instagram; Flickr),f21d,12.58618227432817,-,1
By instant messaging (MSN; What’s app; Skype etc.),f21e,,,1
In a chatroom,f21f,0.7753956639566392,+,1
In an online game,f21g,20.126618323925314,-,1
Some other way,f21h,0.7883223635003738,-,1
Prefer not to say,f21i,,,1
Nasty or hurtful messages were sent to me,f22a,9.205018488817373,+,1
Nasty or hurtful messages were passed around or posted where others could see,f22b,2.728789748055778,-,1
I was left out or excluded from a group or activity on the internet,f22c,2.764145049185457,-,1
I was threatened on the internet,f22d,0.23235300489208507,-,1
Other nasty or hurtful things happened to me on the internet,f22e,0.07766219130540883,-,1
null,f23,3.225471625304487,+,1
null,f24,2.7870565175176436,-,1
null,f25,0.058484310831354656,-,1
null,f26a,,,2
null,f26b,,,2
By mobile phone calls,f27a,0.03882288997592988,+,1
By messages sent by the phone (SMS/Text or MMS),f27b,0.3938262340384976,+,1
On a social networking site (e.g.; Facebook; Twitter),f27c,3.4776902348948875,+,1
By instant messaging (MSN; WhatsApp; Skype etc.),f27d,,,1
On a media sharing platform (YouTube; Instagram; Flickr),f27e,,,1
In a chatroom,f27f,0.2815076149392185,-,1
In an online game,f27g,3.953083785618076,-,1
Some other way,f27h,,,1
Prefer not to say,f27i,,,1
null,f28,0.27313449725974037,+,1
null,f29,56.196876408421545,+,1
In a magazine or book,f31a,0.3262330401280835,+,1
On television; film,f31b,1.8228580709655031,+,1
Via a mobile phone; computer; tablet or anyother online device,f31c,8.301764364482198,+,1
On an online video sharing platform (e.g. YouTube; [add local examples]),f32d,9.625886750972102,-,1
On an online photo sharing platform (e.g. Instagram; Flickr; [add local examples]),f32e,1.9257376984265562,-,1
On a social networking site (e.g. Facebook; Twitter; [add local examples]),f32f,7.3566327268935545,+,1
In a chatroom,f32g,1.0251702962587133,-,1
In an online game,f32h,8.752375342806445,-,1
On an adult/X-rated website,f32i,1.9240702987718372,-,1
By popups on the internet (unrequested windows that appear during web surfing),f32j,1.444884395409134,-,1
By instant messaging (MSN; WhatsApp; Skype; [add local examples]),f32k,,,1
By text (SMS); images (MMS); or otherwise on my mobile phone,f32l,0.2537025429339766,-,1
By Bluetooth,f32m,0.0452345255943456,-,1
In an advert,f32n,8.613511865352313,+,1
Prefer not to say,f32o,,,1
A sexual image or video of someone naked,f33a,0.004965272646667631,-,1
A sexual image or video that shows someone's 'private parts' [translate as appropriate],f33b,,,2
An image or video that shows sexual acts or people having sex,f33c,,,2
An image or video that shows sexual acts in a violent way,f33d,1.5395758667094306,-,1
Something else sexual or embarrassing,f33e,0.29539453756722456,-,1
null,f34,0.49087168250643265,+,1
null,f35,12.236882645463249,+,1
By mobile phone calls,f37a,1.209841871560796,-,1
By text messages sent to me on my phone (SMS/text or MMS),f37b,0.007375733494341483,+,1
On a social networking site (e.g.; Facebook; Twitter etc.),f37c,2.9707890597829185,+,1
On a media sharing platform (YouTube; Instagram; Flickr),f37d,8.203985697634785,-,1
By IM (MSN; WhatsApp; Skype; etc.),f37e,0.6555706508705887,-,1
In a chatroom (video chat),f37f,8.279970554062562,-,1
In an online game,f37g,17.383822145390223,-,1
In a gaming community (also on the Xbox and other game consoles),f37h,6.647319052690923,-,1
By 'pop up' (something appears by accident),f37i,8.467890652496237,-,1
null,f38,7.721325226023186,-,1
null,f39,1.3141341445939154,+,1
I have sent someone a sexual message (e.g.; words; pictures or video) on the internet,f40a,,,2
I have posted a sexual message (e.g.; words; pictures or video) where other people could see it on the internet,f40b,,,2
I have asked someone on the internet for sexual information about him or herself (like what his or her body looks like without clothes on or sexual things he or she has done),f40c,,,2
Ways of physically harming or hurting themselves,f41a,0.06538141597482461,-,1
Ways of committing suicide,f41b,,,1
Ways to be very thin (such as being anorexic or bulimic),f41c,4.668847930582799,+,1
Hate messages that attack certain groups or individuals (e.g.; people of different colour or religion or nationality),f41d,6.311221347635744,+,1
Their experiences of taking drugs,f41e,5.226732893025813,+,1
Gory or violent images,f41f,0.10734817396280187,+,1
Ways of courtship,f41g,0.01374918234885588,-,1
Ways how to find a relationship,f41h,1.4499518487480512,+,1
Ways to join in gambling,f41i,9.550772737654578,-,1
null,f41j,,,0
null,f41k,,,0
About cheating,f41l,3.9685013232881907,+,1
null,f41m,,,1
About drinking alcohol,f41n,0.02943131835435254,-,1
About smoking,f41o,3.6117674786160756,+,1
About bullying,f41p,11.939796219938977,+,1
Somebody used my personal information in a way I didn't like,f43a,0.8089382287480262,-,1
The device (e.g.; phone; tablet; computer) I use got a virus or spyware,f43b,0.11606746147160764,-,1
